decimal/symbols@2, lo/laoo, 86B, 58B, dff1029f85137173
decimal/symbols@2, lt, -> fi
decimal/symbols@2, lv, -> be
decimal/symbols@2, mai/deva, -> bgc
decimal/symbols@2, mk, -> ast
decimal/symbols@2, ml, -> as/latn
decimal/symbols@2, ml/mlym, 86B, 58B, f4dc95e3ee2cd44
decimal/symbols@2, mni, 86B, 58B, a25d4e8ea5096878
decimal/symbols@2, mni/latn, -> bgc/latn
decimal/symbols@2, mr, -> brx/deva
decimal/symbols@2, mr/latn, -> as/latn
decimal/symbols@2, ms-BN, -> ast
decimal/symbols@2, ms-ID, -> ast
decimal/symbols@2, my, 86B, 58B, 2cd646560f3cb3e8
decimal/symbols@2, my/latn, -> bgc/latn
decimal/symbols@2, nds, -> ast
decimal/symbols@2, ne, -> brx/deva
decimal/symbols@2, ne/latn, -> as/latn
decimal/symbols@2, nl, -> ast
decimal/symbols@2, no, -> fi
decimal/symbols@2, nqo, 87B, 49B, 768ff0e3519d07e9
decimal/symbols@2, nqo/latn, -> ks/latn
decimal/symbols@2, nso, 87B, 39B, 293e82ec45c7e1a6
decimal/symbols@2, oc, -> af
decimal/symbols@2, or, -> as/latn
decimal/symbols@2, or/orya, -> kxv-Orya/orya
decimal/symbols@2, pa, -> as/latn
decimal/symbols@2, pa/guru, 86B, 58B, c8a77dff84de55b4
decimal/symbols@2, pl, -> be
decimal/symbols@2, prg, -> af
decimal/symbols@2, ps, -> ks
decimal/symbols@2, ps/latn, 94B, 46B, e2558fd72a69e085
decimal/symbols@2, pt, -> ast
decimal/symbols@2, pt-AO, -> af
decimal/symbols@2, pt-PT, -> be
decimal/symbols@2, qu-BO, -> ast
decimal/symbols@2, raj, -> bgc
decimal/symbols@2, raj/latn, -> bgc/latn
decimal/symbols@2, rm, 90B, 42B, 1c62046bfa4238fa
decimal/symbols@2, ro, -> ast
decimal/symbols@2, ru, -> af
decimal/symbols@2, ru-UA, -> be
decimal/symbols@2, rw, -> ast
decimal/symbols@2, sa, -> brx/deva
decimal/symbols@2, sa/latn, -> as/latn
decimal/symbols@2, sah, -> af
decimal/symbols@2, sat, 86B, 58B, 5dd3833e79f3f41a
decimal/symbols@2, sat/latn, -> bgc/latn
decimal/symbols@2, sc, -> ast
decimal/symbols@2, sd, 91B, 53B, ef1e61e578ece454
decimal/symbols@2, sd/latn, -> bgc/latn
decimal/symbols@2, sk, -> af
decimal/symbols@2, sl, 88B, 40B, 45007a8d9362cc98
decimal/symbols@2, sq, -> be
decimal/symbols@2, sr, -> ast
decimal/symbols@2, sr-Latn, -> ast
decimal/symbols@2, su, -> ast
decimal/symbols@2, sv, -> fi
decimal/symbols@2, sw-CD, -> ast
decimal/symbols@2, szl, -> af
decimal/symbols@2, ta, -> as/latn
decimal/symbols@2, ta-MY, -> bgc/latn
decimal/symbols@2, ta-MY/tamldec, 86B, 58B, efbc194f3409bb78
decimal/symbols@2, ta-SG, -> bgc/latn
